> -L"depth-100"
121.523767552	25.0160437023
121.523419989	25.0155764149
121.523055157	25.0148207365
121.52277719	25.0139705928
121.522568714	25.0130574689
121.522568714	25.012443468
121.522586087	25.0114201263
121.522742444	25.0099716896
121.523159395	25.0086177008
121.523576346	25.0078147468
121.524375502	25.0066496671
121.525417879	25.005390109
121.526234408	25.0043116021
121.527763229	25.0025796735
121.528319163	25.0016664649
121.528545012	25.0010996423
121.528805606	25.0006115431
121.528953276	25.0002100406
121.52911832	24.9997849189
121.529222557	24.9992731964
121.529257303	24.9987063628
121.529248617	24.9981395266
121.529231244	24.9978049346
121.529196498	24.9974270413
121.52911832	24.9971908574
121.529018425	24.9969389274
121.528736115	24.9966003957
121.528258358	24.9961595158
121.527624245	24.9958052361
121.526903267	24.9955533033
121.526486316	24.9954981929
121.525426566	24.9954824471
121.524540545	24.99549032
121.523489481	24.9955060658
121.522985665	24.9957658717
121.521938944	24.9960965328
121.520418811	24.9965925229
121.519504559	24.9969015315
121.515291616	24.9981533039
121.511035241	24.9992239922
121.508012346	25.0001057285
121.507456412	25.0002631807
121.506518272	25.0005938297
121.505701743	25.0010189486
121.504659365	25.0015070463
121.503894955	25.001900672
121.503304275	25.0021998267
121.502661475	25.0024989807
121.502001303	25.0028611135
121.501254266	25.0034279279
121.50028138	25.0042151658
121.499325867	25.0049709095
121.498622262	25.0055298419
121.497440901	25.0064115329
121.496190048	25.0073404505
121.495182417	25.0079859654
121.493931564	25.0087731741
121.492506981	25.0095603777
121.491290874	25.0102846006
121.489970529	25.0109143562
121.488910778	25.0112449766
121.488493827	25.0113551832
121.487851028	25.0115441085
121.486930261	25.0117645211
121.486426445	25.0118589835
121.485835765	25.0119534458
121.485071355	25.0119849332
121.484202707	25.0120321644
121.483473042	25.0120321644
121.482908421	25.0120557799
121.482222189	25.0120951392
121.481388287	25.0120242925
121.480797607	25.0117409055
121.479659678	25.0115047491
121.477766025	25.0108749966
121.476167713	25.0101665211
121.474221942	25.0091274164
121.472693122	25.0085133958
121.471060063	25.0077891624
121.469253276	25.0071121579
121.467741828	25.0066555713
121.466855807	25.0063564274
121.465318301	25.0059234547
121.463546259	25.0054353746
121.461652606	25.0048528248
121.460401753	25.004286017
121.459046663	25.0035302692
121.457170383	25.0023179139
121.455537325	25.0011842723
121.452601295	24.9993420822
121.449856367	24.9977675389
121.447493645	24.9964134156
121.445026685	24.9953741945
121.443671594	24.9946813756
121.441864806	24.9938940766
121.440857175	24.9933902026
121.439050387	24.992287971
121.436513935	24.9913117005
121.433734262	24.9910912513
121.432691884	24.9912172223
121.431753745	24.991469164
121.430468146	24.9921305086
121.428313899	24.9933272182
121.426750332	24.9942719807
121.424491848	24.9957520941
121.422511331	24.9972006984
121.419835895	24.9990586659
121.418133345	25.000664683
121.416917238	25.0023966387
121.416708762	25.00346729
121.416515488	25.0038756701
121.416480742	25.0050407762
121.416654472	25.0065994818
121.417193034	25.0084100747
121.417853206	25.0100789454
121.418096427	25.0108976284
121.418131173	25.0117163059
121.418235411	25.0131962091
121.418304903	25.0141723057
121.418061682	25.0153688006
121.417575239	25.0163763663
121.41628964	25.0180136428
121.415108279	25.0196508975
121.414950194	25.0206041452
121.414950194	25.0212823962
121.41490849	25.0221697082
121.415186457	25.024027298
121.416055105	25.0255700207
121.416993245	25.0273331086
121.418174606	25.0289072729
121.419182237	25.0298517617
121.420711058	25.0311740339
121.422031403	25.0322444343
121.423403866	25.0335981625
121.424654719	25.0349518759
121.425905572	25.0362111307
121.427069561	25.037785181
121.428250922	25.0393119905
121.428812859	25.0402226034
121.42938014	25.0412790765
121.429726811	25.0423926464
121.43023106	25.0437631801
121.430609247	25.0450194892
121.431113496	25.0468468249
121.431743808	25.0489310965
121.43186987	25.0496163287
121.432185026	25.0505299657
121.432500181	25.051514973
121.432626244	25.0519432346
121.433697773	25.0546840732
121.434233538	25.0564541655
121.4343596	25.0585382737
121.434422631	25.0613646104
121.434454147	25.0637341152
121.434611725	25.0661892164
121.435084458	25.0686728152
121.43599841	25.072726397
121.436439628	25.0739824092
121.436691752	25.0752384086
121.436817815	25.0772365628
121.437006908	25.0790063293
121.437574188	25.0803764535
121.437889344	25.0812327733
121.437889344	25.0826028727
121.437826313	25.0841442161
121.438645718	25.0856284543
121.439717247	25.0867701638
121.440253012	25.0875122693
121.441293026	25.0884256236
121.442427586	25.0894531392
121.443593662	25.0906804381
121.444980347	25.0918791833
121.445453081	25.0923073037
121.446556126	25.0933490572
121.447407046	25.094262368
121.448320998	25.0951899424
121.449313739	25.0961603203
121.451094368	25.0989287091
121.452481053	25.1017255744
121.454119863	25.1044652988
121.455475033	25.1065200518
121.457523545	25.1087745327
121.459509026	25.1111145829
121.460359946	25.1123131278
121.461935725	25.1140538507
121.463574534	25.1160228353
121.46524486	25.1179061821
121.466536998	25.1196753603
121.467671559	25.1213589093
121.469215822	25.1233848443
121.470413413	25.1250112749
121.471894645	25.1270656825
121.472745566	25.1282355381
121.473596486	25.1299546348
121.474604984	25.1313241883
121.475960154	25.1332643628
121.477441386	25.1345768163
121.479017164	25.1354612879
121.480151725	25.1361745668
121.482168721	25.1369734342
121.48431178	25.1378578884
121.486171199	25.1384285006
121.488219711	25.1386282143
121.490236708	25.1384855617
121.492316735	25.1380290724
121.493766452	25.1372016811
121.495657386	25.1357751311
121.496886493	25.1339776545
121.497989538	25.1319804272
121.498493787	25.1295551788
121.498998037	25.1261882835
121.499061068	25.1251610766
121.499344708	25.123734386
121.499911988	25.1225359531
121.501078064	25.1213375084
121.502212625	25.1201675868
121.503788403	25.1191688643
121.5058054	25.118198669
121.508830895	25.1165436121
121.511761843	25.1142607383
121.51327459	25.1128339205
121.514535213	25.111578307
121.515669774	25.1099231605
121.516426147	25.1082109164
121.516867365	25.1067840279
